node_index,latitude,longitude,elevation,temperature_2m,relative_humidity_2m,apparent_temperature,wind_speed_10m,wind_direction_10m,wind_gusts_10m,precipitation,rain,cloud_cover,pressure_msl,surface_pressure
6725,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6726,30.75,76.75,366,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,958.9921875
6727,30.75,76.75,360,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.6436768
6728,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6729,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6730,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6731,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6732,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6733,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6734,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6735,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6736,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6737,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
6738,30.75,76.75,362,29.39999962,67,34.26578522,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.4284668
6739,30.75,76.75,365,29.35000038,67,34.18841171,2.811689854,129.8055267,6.119999886,0,0,100,999.2999878,959.0996094
